No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Attained,Unattained
1,Citizenship and Social Development,,Male,Number,21716,21419,,19609,1810
2,Citizenship and Social Development,,Male,Percentage,,,88.7,91.5%,8.5%
3,Citizenship and Social Development,,Female,Number,20877,20643,,19596,1047
4,Citizenship and Social Development,,Female,Percentage,,,82.8,94.9%,5.1%
5,Citizenship and Social Development,,Total,Number,42593,42062,,39205,2857
6,Citizenship and Social Development,,Total,Percentage,,,85.8,93.2%,6.8%
